Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"A Biswas, K Binaee, KJ Capurro…","Characterizing the Performance of Deep Neural Networks for Eye-Tracking",2021,"ACM Symposium on Eye …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3450341.3458491","https://scholar.google.com/scholar?cites=11946979256274154510&as_sdt=2005&sciodt=2007&hl=en",110,"2024-02-14 17:48:04","","10.1145/3450341.3458491","","",,,,,2,0.67,1,4,3,"… DLC uses k-means in pixel space for each eye video to select 40 distinct frames from each participant for hand labeling. Our DLC … Using DeepLabCut for 3D markerless pose estimation …","https://par.nsf.gov/servlets/purl/10232276","https://scholar.google.com/scholar?q=related:DnQu9VUyzKUJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
1,"V Gupta","Equine Gait Analysis, Body Part Tracking using DeepLabCut and Mask R-CNN and Biomechanical Parameter Extraction",2021,"","search.proquest.com","https://search.proquest.com/openview/e10dd285964fcd3dde1669920e244e2a/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?cites=18156319869406401394&as_sdt=2005&sciodt=2007&hl=en",111,"2024-02-14 17:48:04","","","","",,,,,1,0.33,1,1,3,"… tracking results of DeepLabCut, algorithms were developed to extract the two … outliers in the DeepLabCut vs GT plot for the y coordinates of that video. In this case it failed to …","https://etd.auburn.edu/bitstream/handle/10415/7894/ThesisVinikaGupta.pdf?sequence=2","https://scholar.google.com/scholar?q=related:ctNVlLk0-PsJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"LT Johns, MP Smythe, L Dewberry, EA Staiger…","Digital Video Analysis Reveals Gait Parameters that Predict Performance in the Stadium Jumping Phase of Three-Day Eventing",,"Elizabeth A. and Allen …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4704690","",112,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,5,,"… We constructed our custom gait analysis pipeline using the software package DeepLabCut (DLC) and videos of horses at the trot, compiling a sample of 194 horses across three levels (…","","https://scholar.google.com/scholar?q=related:5K9jP-Akr_sJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"MD da Costa Seco","Towards Identification of Octopus Cyanea Behaviour in its Natural Habitat",2019,"","search.proquest.com","https://search.proquest.com/openview/e633f35c2bf3da0b90dc5d603144b4be/1?pq-origsite=gscholar&cbl=2026366&diss=y","",113,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,5,"… In this category we dis-tinguish IdTracker [14] and DeepLabCut(DLC) [13]. All solutions … alternative is DLC which is described in the subsequent sections. 4.3 DeepLabCut based …","","https://scholar.google.com/scholar?q=related:PW0RxI2GT_sJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
25,"L Zhang, T Dunn, J Marshall…","Animal pose estimation from video data with a hierarchical von Mises-Fisher-Gaussian model",2021,"International …","proceedings.mlr.press","http://proceedings.mlr.press/v130/zhang21h.html","https://scholar.google.com/scholar?cites=11364814521815729201&as_sdt=2005&sciodt=2007&hl=en",114,"2024-02-14 17:48:04","","","","",,,,,25,8.33,6,4,3,"… DLC3D uses the median stereo triangulation of 2D keypoints detected by DeepLabCut (DLC), while … GIMBAL takes 2D DLC predictions as input, and the model is initialized with the …","http://proceedings.mlr.press/v130/zhang21h/zhang21h.pdf","https://scholar.google.com/scholar?q=related:MQQHH5jut50J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
1,"GPD Murray, E Giraud, FJH Hol","Characterizing mosquito biting behavior using the biteOscope",2023,"Cold Spring Harbor Protocols","researchgate.net","https://www.researchgate.net/profile/Emilie-Giraud/publication/369088263_Characterizing_Mosquito_Biting_Behavior_Using_the_BiteOscope/links/64185fa0315dfb4cce958e08/Characterizing-Mosquito-Biting-Behavior-Using-the-BiteOscope.pdf","https://scholar.google.com/scholar?cites=6873725592582433173&as_sdt=2005&sciodt=2007&hl=en",115,"2024-02-14 17:48:04","PDF","","","",,,,,1,1.00,0,3,1,"… Dots indicate DeepLabCut (DLC)-based detection of 38 key points on the mosquito body. (B) Magnification of an engorged mosquito shown in A; dots show accurate detection of all key …","https://www.researchgate.net/profile/Emilie-Giraud/publication/369088263_Characterizing_Mosquito_Biting_Behavior_Using_the_BiteOscope/links/64185fa0315dfb4cce958e08/Characterizing-Mosquito-Biting-Behavior-Using-the-BiteOscope.pdf","https://scholar.google.com/scholar?q=related:lSljBQJhZF8J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
1,"AL Cakici, M Osswald, DS De Oliveira…","A generalized framework for the study of spinal motor neurons controlling the human hand during dynamic movements",2022,"2022 44th Annual …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9870914/","https://scholar.google.com/scholar?cites=14459714535902533510&as_sdt=2005&sciodt=2007&hl=en",116,"2024-02-14 17:48:04","","","","",,,,,1,0.50,0,4,2,"… open-source Python toolbox DeepLabCut (DLC) was used. DLC offers a framework for training … Hand label configuration for the markerless tracking with DeepLabCut. Finger tip labels …","https://www.researchgate.net/profile/Alessandro-Del-Vecchio/publication/363398720_A_Generalized_Framework_for_the_Study_of_Spinal_Motor_Neurons_Controlling_the_Human_Hand_During_Dynamic_Movements/links/6358fec88d4484154a36ef60/A-Generalized-Framework-for-the-Study-of-Spinal-Motor-Neurons-Controlling-the-Human-Hand-During-Dynamic-Movements.pdf","https://scholar.google.com/scholar?q=related:htcFcsI5q8gJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
4,"TF De Almeida, BG Spinelli, R Hypolito Lima…","PyRAT: an open-source python library for animal behavior analysis",2022,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fnins.2022.779106/full","https://scholar.google.com/scholar?cites=4444293727764494408&as_sdt=2005&sciodt=2007&hl=en",117,"2024-02-14 17:48:04","HTML","10.3389/fnins.2022.779106","","",,,,,4,2.00,1,4,2,"… Our library is designed to receive as input the DLC tracking data. However, the functions work on pixel space and then can receive any tracking data after applying a few adjustments …","https://www.frontiersin.org/articles/10.3389/fnins.2022.779106/full","https://scholar.google.com/scholar?q=related:SDjmOJlNrT0J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
6,"U Waldmann, H Naik, N Máté, F Kano…","I-MuPPET: Interactive multi-pigeon pose estimation and tracking",2022,"… German Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-16788-1_31","https://scholar.google.com/scholar?cites=6544182844458014412&as_sdt=2005&sciodt=2007&hl=en",118,"2024-02-14 17:48:04","","10.1007/978-3-031-16788-1_31","","",,,,,6,3.00,1,5,2,"… Comparison with DeepLabCut (DLC). RMSE on the odor trail tracking test set from [38]. … of DeepLabCut after 200K, 400K and 600K iterations. Table 1 compares results for DeepLabCut …","https://urs-waldmann.github.io/i-muppet/docs/muppet_supplemental.pdf","https://scholar.google.com/scholar?q=related:zBYg3Z-b0VoJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"LA Molina, JJ Milla-Cruz, Z Ghavasieh…","High-throughput gait acquisition system for freely moving mice",2023,"Journal of …","journals.physiology.org","https://journals.physiology.org/doi/abs/10.1152/jn.00133.2023","",119,"2024-02-14 17:48:04","","10.1152/jn.00133.2023","","",,,,,0,0.00,0,4,1,"… It was built on 93 DeepLabCut™ and was validated using … We obtained the x and y coordinates from each paw from DLC … In combination with the data 193 output from DLC along with …","","https://scholar.google.com/scholar?q=related:nGKStOZAnTUJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"SC Süß, J Werner, AM Saller, L Weiss, J Reiser…","Nociception in Chicken Embryos, Part III: Analysis of Movements before and after Application of a Noxious Stimulus. Animals 2023, 13, 2859",2023,"","researchgate.net","https://www.researchgate.net/profile/Malte-Anders/publication/373832511_Nociception_in_Chicken_Embryos_Part_III_Analysis_of_Movements_before_and_after_Application_of_a_Noxious_Stimulus/links/64ff48c4849bbb203b912484/Nociception-in-Chicken-Embryos-Part-III-Analysis-of-Movements-before-and-after-Application-of-a-Noxious-Stimulus.pdf","",120,"2024-02-14 17:48:04","PDF","","","",,,,,0,0.00,0,6,1,"… The markerless pose estimation software DeepLabCut (DLC) and manual observations were used to analyze embryonic behavior [19–21]. In addition, cardiovascular [22] and …","https://www.researchgate.net/profile/Malte-Anders/publication/373832511_Nociception_in_Chicken_Embryos_Part_III_Analysis_of_Movements_before_and_after_Application_of_a_Noxious_Stimulus/links/64ff48c4849bbb203b912484/Nociception-in-Chicken-Embryos-Part-III-Analysis-of-Movements-before-and-after-Application-of-a-Noxious-Stimulus.pdf","https://scholar.google.com/scholar?q=related:CpyCHVHLLyYJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"MJ Siddique, KR Ahmed","DDM: Study Of Deer Detection And Movement Using Deep Learning Techniques",2023,"2023 IEEE 15th International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10091943/","",121,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,2,1,"… 99.7% precision and using DeepLabCut toolkit on the detected … The DLC toolbox includes tools for creating annotated … The primary goal of this paper is the use of the DLC toolkit was to …","https://www.researchgate.net/profile/Md-Jawad-Siddique/publication/373865621_DDM_Study_of_deer_detection_and_movement_using_deep_learning_techniques/links/6500f78bf8931a4e29bb2ac0/DDM-Study-of-deer-detection-and-movement-using-deep-learning-techniques.pdf","https://scholar.google.com/scholar?q=related:tu2lfmmZ_u8J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"NA Thomas","Optimizing Markerless Motion Tracking for the Study of Hand Kinematics",2021,"","search.proquest.com","https://search.proquest.com/openview/a15a04841cc1557ae5434e5d49d821c9/1?pq-origsite=gscholar&cbl=18750&diss=y","",122,"2024-02-14 17:48:04","BOOK","","","",,,,,0,0.00,0,1,3,"… DeepLabCut (DLC) [15], an implementation of deep learning convolutional neural network used for pose estimation, as the basis for our system. DeepLabCut … to use DeepLabCut, was …","https://digital.lib.washington.edu/researchworks/bitstream/handle/1773/47934/Thomas_washington_0250O_23515.pdf?sequence=1&isAllowed=n","https://scholar.google.com/scholar?q=related:8M3l-Mu_EysJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"S Garg, G Pino, C Acuna","Fear-Mouse Tracker (FMT): An open-source toolkit to track innate defensive behaviors with high precision",2022,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2022.11.25.517925.abstract","",123,"2024-02-14 17:48:04","","10.1101/2022.11.25.517925.abstract","","",,,,,0,0.00,0,3,2,"… Here, we implemented the machine-learning based open-source toolbox DeepLabCut 94 (DLC)22,23 to track mouse movements and poses upon presentation of threatening stimuli …","https://www.biorxiv.org/content/biorxiv/early/2022/11/26/2022.11.25.517925.full.pdf","https://scholar.google.com/scholar?q=related:zWV2Ug1NWokJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"MP Smythe, L Dewberry, EA Staiger, K Allen…","Changes in Gait of Elite Three-Day Event Horses Throughout Competition",,"Elizabeth A. and Allen …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4401594","",124,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,5,,"… Specifically, the DeepLabCut software package (DLC) efficiently detected movement in … Here, we examine the feasibility of utilizing the DLC software package to quantify gait …","","https://scholar.google.com/scholar?q=related:4QCbMrp6fBwJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"EB Contreras, RJ Sutherland, MH Mohajerani…","Challenges of a small world analysis for the continuous monitoring of behavior in mice-Supplemental Material",,"osf.io","","https://osf.io/2dhxf/download","",125,"2024-02-14 17:48:04","PDF","","","",,,,,0,0.00,0,4,,"… DeepLabCut (DLC) was used to track 7 body parts in the homecage videos (Mathis et al., 2018… from 6 different 20 min videos to train DLC for 1,000,000 iterations. DLC was trained in an …","https://osf.io/2dhxf/download","https://scholar.google.com/scholar?q=related:QwSQX0-9y3oJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"A Biswas, MD Lescroart","A framework for generalizable neural networks for robust estimation of eyelids and pupils",2023,"Behavior Research Methods","Springer","https://link.springer.com/article/10.3758/s13428-023-02266-3","",126,"2024-02-14 17:48:04","","10.3758/s13428-023-02266-3","","",,,,,0,0.00,0,2,1,"… A We use DeepLabCut based on a ResNet50 deep neural network to train our baseline … In this study, we trained DLC to estimate keypoints on the edge of the pupil and on the upper …","","https://scholar.google.com/scholar?q=related:F-VP7HHioGkJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
9,"C Shi, S Schwartz, S Levy, S Achvat…","Learning disentangled behavior embeddings",2021,"Advances in neural …","proceedings.neurips.cc","https://proceedings.neurips.cc/paper_files/paper/2021/hash/be37ff14df68192d976f6ce76c6cbd15-Abstract.html","https://scholar.google.com/scholar?cites=15061877753853905670&as_sdt=2005&sciodt=2007&hl=en",127,"2024-02-14 17:48:04","","","","",,,,,9,3.00,2,5,3,"… the pose estimation from DLC to a … DLC coordinate information. We place 5 markers on the center and 4 digits of the right paw of the mouse in each view of the videos, and train a DLC …","https://proceedings.neurips.cc/paper_files/paper/2021/file/be37ff14df68192d976f6ce76c6cbd15-Paper.pdf","https://scholar.google.com/scholar?q=related:BgvSEASKBtEJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"C Coppola, L O'Reilly, S Dalesman…","Automatic tracking and analysis of fish trajectories for developing a bio-inspired robot controller",2022,"UKRAS22 Conference “ …","pure.aber.ac.uk","https://pure.aber.ac.uk/portal/en/publications/automatic-tracking-and-analysis-of-fish-trajectories-for-developing-a-bioinspired-robot-controller(931845b1-6da3-4daa-8277-b46523b28fd7).html","",128,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,4,2,"… The automatic tracker was created using a DeepLabCut (DLC) toolbox [4], whereby artificial … of frames where the pose estimation of the DLC network was within 10% of the fish body …","https://pure.aber.ac.uk/portal/files/63169921/UK_RAS2022_proceedings_Paper_42.pdf","https://scholar.google.com/scholar?q=related:GcL5P5JkGAoJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"A Davis, V Wagh, S Gopalakrishnan…","Using artificial intelligence to assess hand trajectories of a touchscreen shape-tracing task",2022,"Journal of Exercise …","scapps.org","https://www.scapps.org/jems/index.php/1/article/view/2722","",129,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,4,2,"… parameters of DeepLabCut (DLC) technology for assessing upper limb movements. We systematically tested the impact of two model parameters on accuracy of the trained DLC model …","","https://scholar.google.com/scholar?q=related:zxjGSECHC5oJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
6,"G Li, RS Gates, MM Meyer, EA Bobeck","Tracking and Characterizing Spatiotemporal and Three-Dimensional Locomotive Behaviors of Individual Broilers in the Three-Point Gait-Scoring System",2023,"Animals","mdpi.com","https://www.mdpi.com/2076-2615/13/4/717","https://scholar.google.com/scholar?cites=3652361397656996398&as_sdt=2005&sciodt=2007&hl=en",130,"2024-02-14 17:48:04","","","","",,,,,6,6.00,2,4,1,"… Dlc is the abbreviation of DeepLabCut, and GUI is graphical user interface. Red arrows … Dlc is the abbreviation of DeepLabCut, and GUI is graphical user interface. Red arrows indicate …","https://www.mdpi.com/2076-2615/13/4/717/pdf","https://scholar.google.com/scholar?q=related:LsqxElfLrzIJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
23,"C Winters, W Gorssen, VA Ossorio-Salazar, S Nilsson…","Automated procedure to assess pup retrieval in laboratory mice",2022,"Scientific reports","nature.com","https://www.nature.com/articles/s41598-022-05641-w","https://scholar.google.com/scholar?cites=8537271252700684851&as_sdt=2005&sciodt=2007&hl=en",131,"2024-02-14 17:48:04","HTML","","","",,,,,23,11.50,5,5,2,"… a dam and one pup using DeepLabCut software, and classified … We used DLC to construct an accurate model for tracking a … DLC has been used by others to track user-defined features …","https://www.nature.com/articles/s41598-022-05641-w","https://scholar.google.com/scholar?q=related:M-Jg0Ph6enYJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"R Bos","A novel markerless multi-camera tool to early predict neurodevelopmental diseases like cerebral palsy in infants-at-risk",2023,"","studenttheses.uu.nl","https://studenttheses.uu.nl/handle/20.500.12932/44856","",132,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,1,"… The software packages DeepLabCut (DLC) and Anipose offer a markerless multi-camera … With a MATLAB 2D analysis, we show the achievement of DLC on markerless labelling of …","","https://scholar.google.com/scholar?q=related:Ywbm4glZ9MAJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
1,"C Ekhator, A Varshney, MW Young…","Locomotor characteristics of the ground‐walking chameleon Brookesia superciliaris",2023,"… Zoology Part A …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.2703","https://scholar.google.com/scholar?cites=3925324682569214834&as_sdt=2005&sciodt=2007&hl=en",133,"2024-02-14 17:48:04","","10.1002/jez.2703","","",,,,,1,1.00,0,4,1,"… DLC from the time elapsed between the start of stance phase and the end of swing phase. Each stride was trained on Deep Lab Cut (DLC… written MATLAB program from DLC output. Hip …","","https://scholar.google.com/scholar?q=related:cmucZACOeTYJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"J Sosa¹, S Perry, J Alty, D Hogg¹","Check for Of Mice and Pose: 2D Mouse Pose Estimation from Unlabelled Data and Synthetic Prior",2023,"Computer Vision Systems: 14th …","books.google.com","https://books.google.com/books?hl=en&lr=&id=fHXYEAAAQBAJ&oi=fnd&pg=PA124&dq=deeplabcut+dlc&ots=-mT9pVD9F1&sig=9FTCZ14BM513PZxicAULLhN7cuY","",134,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,4,1,"… label ‘DLC’after the name of the joint to identify the predicted joint positions by DeepLabCut. … Finally, we assess quantitatively the predictions of DLC with the same ground-truth of that …","","https://scholar.google.com/scholar?q=related:sDvFbd29grcJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"M Fuchs, E Genty, K Zuberbühler, P Cotofrei","ASBAR: an Animal Skeleton-Based Action Recognition framework. Recognizing great ape behaviors in the wild using pose estimation with domain adaptation.",2023,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2023.09.24.559236.abstract","",135,"2024-02-14 17:48:04","","10.1101/2023.09.24.559236.abstract","","",,,,,0,0.00,0,4,1,"… analysis on several CNN models from DeepLabCut, integrated into our framework. Second, … of DLC, were not integrated in the release 370 of our framework. However, the default DLC …","https://www.biorxiv.org/content/10.1101/2023.09.24.559236.full.pdf","https://scholar.google.com/scholar?q=related:X5Dki5LBAfcJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"L Reich","Utilizing Behavioral and Molecular Techniques to Study Gap Junction Channels in Developing Zebrafish",2020,"","scholarsbank.uoregon.edu","https://scholarsbank.uoregon.edu/xmlui/handle/1794/25515","",136,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,4,"… automated behavioral tracking system, using DeepLabCuts (DLC), to track movement during … Further experimentation will utilize DLC, in addition to molecular techniques, to unravel the …","","https://scholar.google.com/scholar?q=related:Im0r1-GFjwIJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
22,"EP Washabaugh, TA Shanmugam, R Ranganathan…","Comparing the accuracy of open-source pose estimation methods for measuring gait kinematics",2022,"Gait &Posture","Elsevier","https://www.sciencedirect.com/science/article/pii/S0966636222004738","https://scholar.google.com/scholar?cites=3429146180786868547&as_sdt=2005&sciodt=2007&hl=en",137,"2024-02-14 17:48:04","","","","",,,,,22,11.00,6,4,2,"… OpenPose, Tensorflow MoveNet, and DeepLabCut, by their ability to track gait kinematics and spatiotemporal gait parameters. OpenPose and DeepLabCut were included in this study …","https://www.sciencedirect.com/science/article/am/pii/S0966636222004738","https://scholar.google.com/scholar?q=related:Q1GwdEjGli8J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"H Rahael, M Smythe, S Dewberry, A Oberdorfer…","44 Detecting conformational differences in Fragile Foal Syndrome carriers utilizing artificial intelligence",2023,"Journal of Equine …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0737080623001363","",138,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,5,1,"… To measure conformation parameters, we first digitally labeled specific anatomical points on a video recording of a trotting horse using the software package DeepLabCut (DLC). …","","https://scholar.google.com/scholar?q=related:vcGbU8j-he8J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"JA Padawer-Curry, AQ Bauer…","Integrated light-based motor mapping with deep neural networks for tracking multiple limb movements in mice",2022,"Optogenetics and …","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/PC11947/PC119470A/Integrated-light-based-motor-mapping-with-deep-neural-networks-for/10.1117/12.2610258.short","",139,"2024-02-14 17:48:04","","10.1117/12.2610258.short","","",,,,,0,0.00,0,3,2,"… DeepLabCut (DLC), a toolbox for markerless pose estimation, offers the ability to track features in 3-dimensions. We demonstrate a hybrid method utilizing DLC and light-based, …","","https://scholar.google.com/scholar?q=related:MZiGuONQCnoJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
3,"D López Pérez, R Stryjek…","Recurrence quantification analysis in the study of online coordination in Norway rats (Rattus norvegicus).",2021,"Journal of Comparative …","psycnet.apa.org","https://psycnet.apa.org/record/2020-74932-001","https://scholar.google.com/scholar?cites=14211946512542103833&as_sdt=2005&sciodt=2007&hl=en",140,"2024-02-14 17:48:04","","","","",,,,,3,1.00,1,3,3,"… With DLC, we aimed at tracking the movement of the animals … algorithm, that is, DeepLabCut, with nonlinear dynamical … and test errors which confirms DLC as a useful method to …","https://www.researchgate.net/profile/David-Lopez-Perez/publication/344015251_Recurrence_Quantification_Analysis_in_the_Study_of_on-line_Coordination_in_Norway_Rats_Rattus_norvegicus/links/5f4e0dcea6fdcc14c5051355/Recurrence-Quantification-Analysis-in-the-Study-of-on-line-Coordination-in-Norway-Rats-Rattus-norvegicus.pdf","https://scholar.google.com/scholar?q=related:GXnsFg76OsUJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"N Khanal, K Schulte, T Voss…","Automated light-based motor mapping of multiple limb movements in mice using deep neural networks",2021,"Optical Techniques …","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/11629/116290O/Automated-light-based-motor-mapping-of-multiple-limb-movements-in/10.1117/12.2578860.short","",141,"2024-02-14 17:48:04","","10.1117/12.2578860.short","","",,,,,0,0.00,0,4,3,"… DeepLabCut (DLC), a toolbox for markerless pose estimation, offers the ability to track user-… We demonstrate a hybrid method utilizing DLC and optogenetic motor mapping to localize …","","https://scholar.google.com/scholar?q=related:0GL22cW67LoJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"OC Mistretta, RL Wood, AW English…","Air-stepping in the neonatal mouse: a powerful tool for analyzing early stages of rhythmic limb movement development",2024,"Journal of …","journals.physiology.org","https://journals.physiology.org/doi/abs/10.1152/jn.00227.2023","",142,"2024-02-14 17:48:04","","10.1152/jn.00227.2023","","",,,,,0,0.00,0,4,1,"… Using DeepLabCut pose estimation we 43 analyzed rhythmicity and limb coordination. We … advances in movement tracking software, like DeepLabCut (DLC) (36) 113 synchronized to …","","https://scholar.google.com/scholar?q=related:wVoNwPQkWGkJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
9,"EKH Clemensson, M Abbaszadeh, S Fanni…","Tracking rats in operant conditioning chambers using a versatile homemade video camera and DeepLabCut",2020,"JoVE (Journal of …","jove.com","https://www.jove.com/t/61409/tracking-rats-operant-conditioning-chambers-using-versatile-homemade","https://scholar.google.com/scholar?cites=1706828418370226641&as_sdt=2005&sciodt=2007&hl=en",143,"2024-02-14 17:48:04","","","","",,,,,9,2.25,2,4,4,"… Both networks achieved a low error score from DeepLabCut’s evaluation function (DLC test error) and displayed a low training loss towards the end of the training. Despite this, Network …","https://www.researchgate.net/profile/Erik-Clemensson/publication/342203456_Tracking_Rats_in_Operant_Conditioning_Chambers_Using_a_Versatile_Homemade_Video_Camera_and_DeepLabCut/links/5ef506bca6fdcc4ca430fb3c/Tracking-Rats-in-Operant-Conditioning-Chambers-Using-a-Versatile-Homemade-Video-Camera-and-DeepLabCut.pdf","https://scholar.google.com/scholar?q=related:0cl_QWffrxcJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"ZV Bergmann, T Nguyen","Quantifying Infants' Movements to Maternal Singing-a Comparative Methodological Approach",2023,"Proceedings of the MEi: CogSci …","journals.phl.univie.ac.at","https://journals.phl.univie.ac.at/meicogsci/article/view/587","",144,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,2,1,"… DeepLabCut (DLC), a tool for markerless pose estimation … have been published that apply DLC to study infants’ behavior … of manual human coding and DLC on the same dataset. Such …","","https://scholar.google.com/scholar?q=related:7MAq1MMFQWIJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"M Ladouceur","Assessing the Stability of the Motor Networks Recruited During the Bimanual String-Pulling Task Throughout Stroke Recovery",2023,"","ruor.uottawa.ca","https://ruor.uottawa.ca/handle/10393/44493","",145,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,1,"… We also hypothesized that stroke mice would employ movements indicative of motor impairments on the string-pulling task, as measured by using DeepLabCut (DLC), such as acute …","https://ruor.uottawa.ca/bitstream/10393/44493/5/Ladouceur_Mikael_2023_thesis.pdf","https://scholar.google.com/scholar?q=related:k5oz4PXUK9YJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
1,"A Dolokov, N Andresen, K Hohlbaum…","Upper Bound Tracker: A Multi-Animal Tracking Solution for Closed Laboratory Settings.",2023,"VISIGRAPP (5 …","scitepress.org","https://www.scitepress.org/PublishedPapers/2023/116095/116095.pdf","https://scholar.google.com/scholar?cites=2152333032018254177&as_sdt=2005&sciodt=2007&hl=en",146,"2024-02-14 17:48:04","PDF","","","",,,,,1,1.00,0,4,1,"… -object pose estimation solution DeepLabCut (DLC) in version 2.2. DLC does not output … the bounding boxes of the keypoints, that DLC outputs and increased their width and height …","https://www.scitepress.org/PublishedPapers/2023/116095/116095.pdf","https://scholar.google.com/scholar?q=related:YZnJM32f3h0J:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
0,"D Cioppa","Behavioral Correlates of Procedural Automation and Deliberation in a Two Step Nose-Port Fixation Task in Rats",2020,"","dataspace.princeton.edu","https://dataspace.princeton.edu/handle/88435/dsp019306t234d","",147,"2024-02-14 17:48:04","","","","",,,,,0,0.00,0,1,4,"… In order to track rats noninvasively over many trials, DeepLabCut (DLC), a python package used for motion tracking is employed. DLC was successfully used to analyze and label …","","https://scholar.google.com/scholar?q=related:zlPqVSLmtHQJ:scholar.google.com/&scioq=deeplabcut+dlc&hl=en&as_sdt=2007"
